str;en;ru;es
Settings;Settings;Настройки;Configuración
Go back to Home Page;Go back to Home Page;Вернуться на главную страницу;Volver a la página de inicio
Activity;Activity;Активность;Actividad
Saved;Saved;Сохраненные;Guardado
Last saved Dhikrs;Last saved Dhikrs;Последние сохраненные зикры;Últimos Dhikrs guardados
Edit Dhikr;Edit Dhikr;Редактировать зикр;Editar Dhikr
Counter:;Counter:;Счетчик:;Contador
Delete;Delete;Удалить;Borrar
Save;Save;Сохранить;Guardar
Dhikr;Dhikr;Зикр;Dhikr
Save Dhikr;Save Dhikr;Сохранить Зикр;Guardar Dhikr
Enter title;Enter title;Введите заголовок;Introducir título
Select language;Select language;Выберите язык;Seleccionar idioma
Language;Language;Язык;Idioma
